iter	Passed	Remaining
244	747	2303
245	750	2299
246	752	2295
247	755	2291
248	758	2286
249	760	2281
250	762	2276
251	764	2268
252	766	2263
253	769	2259
254	772	2257
255	775	2253
256	778	2249
257	780	2245
258	783	2240
259	786	2237
260	789	2234
261	791	2230
262	794	2227
263	797	2224
264	800	2220
265	803	2218
266	807	2215
267	810	2213
268	813	2210
269	816	2208
270	820	2206
271	823	2204
272	826	2202
273	830	2199
274	834	2199
275	837	2197
276	840	2194
277	843	2191
278	846	2187
279	852	2190
280	855	2187
281	858	2185
282	861	2182
283	867	2186
284	870	2184
285	873	2180
286	876	2177
287	880	2176
288	885	2177
289	888	2175
290	891	2171
291	894	2168
292	901	2174
293	904	2172
294	907	2168
295	912	2170
296	916	2170
297	920	2167
298	922	2162
299	926	2162
300	932	2165
301	935	2162
302	938	2158
303	942	2158
304	947	2159
305	950	2156
306	954	2153
307	959	2155
308	965	2158
309	968	2155
310	971	2151
311	978	2157
312	981	2154
313	984	2151
314	989	2150
315	995	2154
316	998	2151
317	1001	2148
318	1007	2149
319	1010	2147
320	1013	2143
321	1016	2139
322	1019	2136
323	1024	2138
324	1027	2134
325	1031	2131
326	1037	2134
327	1041	2133
328	1044	2130
329	1047	2127
330	1053	2128
331	1058	2130
332	1062	2127
333	1066	2127
334	1071	2127
335	1074	2123
336	1077	2120
337	1081	2117
338	1088	2122
339	1092	2120
340	1095	2116
341	1100	2117
342	1104	2115
343	1108	2113
344	1111	2110
345	1118	2114
346	1122	2111
347	1125	2108
348	1129	2106
349	1134	2107
350	1137	2103
351	1140	2099
352	1144	2098
353	1150	2099
354	1154	2097
355	1157	2094
356	1164	2097
357	1168	2094
358	1171	2091
359	1175	2089
360	1181	2091
361	1184	2088
362	1188	2085
363	1194	2086
364	1198	2084
365	1201	2080
366	1203	2076
367	1211	2080
368	1214	2077
369	1218	2074
370	1223	2074
371	1229	2076
372	1233	2072
373	1236	2069
374	1245	2075
375	1247	2071
376	1250	2066
377	1257	2068
378	1261	2066
379	1264	2063
380	1267	2059
381	1274	2062
382	1277	2058
383	1280	2054
384	1283	2049
385	1291	2054
386	1293	2049
387	1297	2045
388	1301	2044
389	1306	2043
390	1310	2040
391	1313	2036
392	1316	2033
393	1321	2032
394	1324	2028
395	1327	2024
396	1329	2019
397	1337	2022
398	1340	2019
399	1343	2015
400	1346	2011
401	1355	2015
402	1358	2012
403	1361	2009
404	1369	2012
405	1373	2009
406	1376	2005
407	1383	2007
408	1387	2005
409	1391	2002
410	1395	1999
411	1400	1999
412	1404	1995
413	1407	1991
414	1411	1989
415	1417	1989
416	1420	1985
417	1423	1981
418	1430	1983
419	1434	1980
420	1437	1976
421	1439	1972
422	1446	1973
423	1450	1970
424	1454	1967
425	1458	1965
426	1464	1964
427	1467	1960
428	1470	1956
429	1475	1956
430	1479	1953
431	1483	1950
432	1486	1946
433	1491	1945
434	1495	1943
435	1499	1939
436	1502	1935
437	1509	1937
438	1513	1933
439	1516	1930
440	1521	1928
441	1526	1926
442	1528	1922
443	1531	1918
444	1534	1913
445	1543	1916
446	1546	1913
447	1552	1912
448	1575	1933
449	1580	1931
450	1587	1932
451	1591	1929
452	1594	1925
453	1596	1920
454	1601	1918
455	1606	1915
456	1608	1911
457	1611	1907
458	1616	1905
459	1620	1902
460	1623	1898
461	1626	1894
462	1629	1889
463	1637	1891
464	1640	1887
465	1643	1883
466	1652	1885
467	1656	1882
468	1659	1879
469	1665	1878
470	1669	1875
471	1673	1872
472	1676	1868
473	1685	1869
474	1688	1866
475	1692	1863
476	1699	1863
477	1702	1859
478	1706	1856
479	1714	1856
480	1718	1854
481	1721	1850
482	1728	1850
483	1733	1847
484	1736	1843
485	1739	1840
486	1746	1839
487	1750	1836
488	1753	1832
489	1761	1833
490	1765	1830
491	1768	1826
492	1773	1823
493	1777	1821
494	1781	1817
495	1785	1814
496	1792	1813
497	1795	1810
498	1799	1806
499	1802	1802
500	1809	1802
501	1812	1798
502	1816	1794
503	1823	1794
504	1827	1791
505	1830	1787
506	1836	1785
507	1841	1783
508	1844	1779
509	1848	1776
510	1856	1776
511	1859	1772
512	1863	1768
513	1869	1768
514	1873	1764
515	1877	1761
516	1883	1759
517	1889	1758
518	1893	1754
519	1896	1750
520	1903	1750
521	1906	1746
522	1909	1741
523	1915	1739
524	1919	1736
525	1922	1732
526	1926	1728
527	1935	1730
528	1938	1726
529	1942	1722
530	1948	1720
531	1951	1716
532	1954	1712
533	1957	1707
534	1962	1705
535	1967	1702
536	1970	1698
537	1974	1695
538	1981	1694
539	1985	1690
540	1988	1687
541	1995	1686
542	1999	1683
543	2003	1679
544	2006	1675
545	2012	1673
546	2016	1670
547	2019	1665
548	2023	1662
549	2028	1659
550	2031	1655
551	2035	1651
552	2037	1647
553	2044	1645
554	2047	1641
555	2051	1638
556	2054	1633
557	2060	1632
558	2063	1628
559	2066	1624
560	2073	1622
561	2077	1619
562	2081	1615
563	2085	1612
564	2092	1610
565	2095	1606
566	2097	1602
567	2103	1599
568	2108	1597
569	2111	1593
570	2114	1588
571	2120	1586
572	2123	1582
573	2126	1578
574	2129	1574
575	2134	1571
576	2139	1568
577	2142	1564
578	2145	1559
579	2150	1557
580	2154	1553
581	2158	1550
582	2161	1545
583	2165	1542
584	2170	1540
585	2174	1536
586	2177	1532
587	2184	1530
588	2188	1526
589	2191	1523
590	2194	1518
591	2202	1517
592	2205	1513
593	2209	1509
594	2214	1507
595	2218	1503
596	2221	1499
597	2224	1495
598	2229	1492
599	2234	1489
600	2237	1485
601	2240	1481
602	2246	1479
603	2250	1475
604	2253	1471
605	2257	1467
606	2264	1465
607	2267	1462
608	2271	1458
609	2274	1454
610	2279	1451
611	2283	1447
612	2285	1443
613	2289	1439
614	2295	1436
615	2298	1432
616	2301	1428
617	2306	1425
618	2311	1422
619	2314	1418
620	2317	1414
621	2324	1412
622	2328	1408
623	2331	1405
624	2335	1401
625	2342	1399
626	2345	1395
627	2348	1391
628	2355	1389
629	2375	1394
630	2379	1391
631	2382	1387
632	2389	1385
633	2393	1381
634	2396	1377
635	2403	1375
636	2408	1372
637	2411	1368
638	2415	1364
639	2420	1361
640	2423	1357
641	2426	1353
642	2430	1349
643	2433	1345
644	2438	1342
645	2443	1338
646	2446	1334
647	2449	1330
648	2454	1327
649	2459	1324
650	2461	1319
651	2465	1315
652	2471	1313
653	2475	1309
654	2478	1305
655	2483	1302
656	2488	1299
657	2492	1295
658	2495	1291
659	2502	1288
660	2506	1285
661	2509	1281
662	2512	1277
663	2518	1274
664	2522	1270
665	2525	1266
666	2532	1264
667	2536	1260
668	2539	1256
669	2542	1252
670	2549	1249
671	2552	1245
672	2555	1241
673	2558	1237
674	2565	1235
675	2569	1231
676	2572	1227
677	2579	1224
678	2583	1221
679	2586	1217
680	2589	1213
681	2595	1210
682	2599	1206
683	2602	1202
684	2606	1198
685	2612	1195
686	2615	1191
687	2618	1187
688	2622	1183
689	2628	1180
690	2632	1177
691	2635	1173
692	2640	1169
693	2646	1166
694	2649	1162
695	2652	1158
696	2658	1155
697	2662	1152
698	2665	1147
699	2669	1144
700	2678	1142
701	2681	1138
702	2684	1134
703	2692	1131
704	2695	1128
705	2699	1124
706	2706	1121
707	2710	1117
708	2713	1113
709	2718	1110
710	2724	1107
711	2727	1103
712	2730	1099
713	2737	1096
714	2740	1092
715	2744	1088
716	2747	1084
717	2753	1081
718	2757	1077
719	2760	1073
720	2763	1069
721	2770	1066
722	2773	1062
723	2777	1058
724	2779	1054
725	2785	1051
726	2788	1047
727	2791	1043
728	2795	1039
729	2801	1036
730	2805	1032
731	2808	1028
732	2811	1024
733	2819	1021
734	2822	1017
735	2826	1013
736	2832	1010
737	2836	1007
738	2839	1003
739	2842	998
740	2850	996
741	2854	992
742	2857	988
743	2862	984
744	2866	981
745	2869	976
746	2873	973
747	2879	970
748	2883	966
749	2887	962
750	2891	958
751	2897	955
752	2900	951
753	2903	947
754	2910	944
755	2914	940
756	2917	936
757	2920	932
758	2926	929
759	2930	925
760	2933	921
761	2936	917
762	2943	914
763	2946	910
764	2950	906
765	2953	902
766	2960	899
767	2963	895
768	2966	891
769	2973	888
770	2977	884
771	2980	880
772	2983	876
773	2989	873
774	2993	869
775	2996	864
776	2999	860
777	3006	858
778	3010	854
779	3013	849
780	3017	846
781	3022	842
782	3026	838
783	3029	834
784	3034	831
785	3039	827
786	3042	823
787	3045	819
788	3052	816
789	3055	812
790	3059	808
791	3061	804
792	3068	800
793	3072	797
794	3076	793
795	3082	790
796	3086	786
797	3090	782
798	3097	779
799	3102	775
800	3105	771
801	3109	767
802	3116	764
803	3120	760
804	3123	756
805	3128	753
806	3133	749
807	3136	745
808	3140	741
809	3147	738
810	3150	734
811	3154	730
812	3156	726
813	3164	723
814	3167	719
815	3171	715
816	3176	711
817	3181	707
818	3185	703
819	3188	699
820	3195	696
821	3199	692
822	3202	688
823	3211	685
824	3215	682
825	3218	678
826	3225	674
827	3230	670
828	3233	666
829	3237	663
830	3244	659
831	3247	655
832	3251	651
833	3259	648
834	3263	644
835	3266	640
836	3270	636
837	3275	633
838	3278	629
839	3282	625
840	3289	621
841	3293	617
842	3296	613
843	3299	609
844	3306	606
845	3310	602
846	3313	598
847	3319	595
848	3323	591
849	3327	587
850	3330	583
851	3337	579
852	3340	575
853	3344	571
854	3346	567
855	3352	563
856	3355	559
857	3358	555
858	3361	551
859	3368	548
860	3371	544
861	3374	540
862	3377	536
863	3384	532
864	3388	528
865	3391	524
866	3395	520
867	3401	517
868	3404	513
869	3408	509
870	3414	505
871	3418	501
872	3421	497
873	3424	493
874	3430	490
875	3434	486
876	3437	482
877	3440	478
878	3446	474
879	3450	470
880	3453	466
881	3456	462
882	3463	458
883	3467	455
884	3471	451
885	3476	447
886	3479	443
887	3482	439
888	3486	435
889	3492	431
890	3496	427
891	3499	423
892	3502	419
893	3508	415
894	3513	412
895	3516	408
896	3519	404
897	3525	400
898	3528	396
899	3532	392
900	3535	388
901	3541	384
902	3544	380
903	3547	376
904	3550	372
905	3557	369
906	3560	365
907	3563	361
908	3566	357
909	3571	353
910	3575	349
911	3578	345
912	3582	341
913	3589	337
914	3593	333
915	3596	329
916	3600	325
917	3606	322
918	3610	318
919	3613	314
920	3619	310
921	3623	306
922	3626	302
923	3629	298
924	3636	294
925	3639	290
926	3643	286
927	3646	282
928	3652	279
929	3656	275
930	3660	271
931	3667	267
932	3671	263
933	3675	259
934	3680	255
935	3684	251
936	3687	247
937	3690	243
938	3694	240
939	3700	236
940	3704	232
941	3708	228
942	3714	224
943	3717	220
944	3720	216
945	3723	212
946	3729	208
947	3733	204
948	3736	200
949	3741	196
950	3745	192
951	3749	189
952	3752	185
953	3757	181
954	3761	177
955	3772	173
956	3777	169
957	3781	165
958	3784	161
959	3788	157
960	3792	153
961	3796	149
962	3799	145
963	3801	141
964	3806	138
965	3809	134
966	3813	130
967	3816	126
968	3821	122
969	3825	118
970	3828	114
971	3831	110
972	3837	106
973	3841	102
974	3845	98
975	3848	94
976	3854	90
977	3858	86
978	3862	82
979	3864	78
980	3871	74
981	3874	71
982	3877	67
983	3881	63
984	3887	59
985	3890	55
986	3893	51
987	3897	47
988	3902	43
989	3906	39
990	3909	35
991	3914	31
992	3919	27
993	3923	23
994	3926	19
995	3933	15
996	3937	11
997	3941	7
998	3950	3
999	3954	0
